Qty,Designator,Footprint,Value,LCSC Part #,Part type
1,RRESET,603,10k,C25804,B
7,"C1, C2, C3, CPHY, CPLL, CVCCA, CVCORE",603,100nF,C14663,B
1,CRESET,603,10nF,C57112,B
2,"CVBUS, CVCC",1206,10uF,C13585,B
1,REE,603,2.2k,C4190,B
2,"CX1, CX2",402,27pF,C1557,B
1,RREF,603,12k,C22790,B
2,"DDM, DDP",WE-VE_0603,5V,C142698,E
3,"FBPHY, FBPLL, FVBUS",603,600Î©/0.5A,C19330,E
1,GATES,TSSOP14-RU,7402TSSOP14,C132981,E
1,EEPROM,SOT23-6,93LC76B,C190271,E
1,XTAL,SMD3225-4P,CRYSTAL,C9002,E
1,FTDI,QFN48_8MM,FT232HQFN,C82158,E
1,USB,USB-C,USB-C,C2765186,E
2,"RCC1, RCC2",402,5.1k,C186154,E